epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,13866.1,2.15027,0.46008,0.33709,1.19403,0.00359,0.01335,0.75743,0.5363,0.61556,0.31633,0,0,0,0,1.93486,0,2.15213,1.02485,0.00452,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,14182.8,2.15441,0.451,0.33518,1.19496,0.00357,0.01496,0.76603,0.53766,0.61878,0.31757,0,0,0,0,1.93676,0,2.10154,1.02035,0.00451,0,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,14498,2.15292,0.45481,0.33467,1.19942,0.00353,0.01302,0.77282,0.53917,0.62132,0.31933,0,0,0,0,1.93609,0,2.1078,1.02512,0.00451,0,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,14812,2.14437,0.46114,0.3332,1.19723,0.00358,0.00905,0.77078,0.53866,0.62239,0.32142,0,0,0,0,1.92603,0,2.10197,1.02666,0.00451,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,15127.8,2.13636,0.45324,0.33512,1.18379,0.00353,0.01277,0.7692,0.53958,0.62224,0.32186,0,0,0,0,1.92109,0,2.14028,1.02156,0.00449,0,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,15441.8,2.1517,0.45256,0.34046,1.19428,0.00355,0.02063,0.76635,0.53849,0.6209,0.31907,0,0,0,0,1.93079,0,2.04677,1.01588,0.00451,0,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,15755.6,2.16032,0.45268,0.33561,1.20332,0.00352,0.01355,0.76679,0.53522,0.61862,0.31928,0,0,0,0,1.9229,0,2.07352,1.02036,0.00448,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,16071.8,2.11785,0.4471,0.32701,1.18578,0.00357,0.0051,0.7649,0.54078,0.62318,0.32352,0,0,0,0,1.91501,0,2.15863,1.014,0.00446,0,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,16386.3,2.14413,0.44716,0.3379,1.18153,0.00353,0.01694,0.77148,0.54523,0.62787,0.32504,0,0,0,0,1.91555,0,2.16395,1.00997,0.00447,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,16699.1,2.12423,0.44511,0.32992,1.178,0.00352,0.00643,0.77229,0.54271,0.62639,0.32457,0,0,0,0,1.91496,0,2.17155,1.01264,0.00447,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
