epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,11203.2,2.02817,0.37894,0.31305,1.09148,0.00334,0.00575,0.78018,0.57339,0.65909,0.34435,0,0,0,0,1.85965,0,2.15115,0.95908,0.00434,0,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,11533,2.04263,0.37053,0.31428,1.10249,0.00329,0.00843,0.77321,0.57321,0.6561,0.34159,0,0,0,0,1.86548,0,1.98636,0.95719,0.00434,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,11857.5,2.03931,0.377,0.31791,1.10896,0.00334,0.00906,0.76807,0.56205,0.6491,0.33956,0,0,0,0,1.85665,0,2.13027,0.96452,0.00428,0,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,12183,2.04342,0.36915,0.31475,1.09874,0.00326,0.00624,0.76971,0.56653,0.65341,0.34438,0,0,0,0,1.84726,0,2.17192,0.95542,0.00426,0,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,12507.5,2.03948,0.37135,0.31667,1.09658,0.00324,0.00759,0.76707,0.56255,0.64983,0.34216,0,0,0,0,1.84223,0,2.08876,0.96296,0.00427,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,12833,2.03042,0.37004,0.31343,1.09186,0.00329,0.00884,0.78248,0.5725,0.66198,0.3497,0,0,0,0,1.83653,0,2.14022,0.95188,0.00425,0,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,13158.8,2.05087,0.3801,0.31378,1.10167,0.00324,0.01121,0.78393,0.57125,0.65926,0.34687,0,0,0,0,1.83984,0,2.07201,0.95423,0.00427,0,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,13483.5,2.00605,0.36464,0.30844,1.07591,0.00326,0.00638,0.7753,0.57162,0.65848,0.34942,0,0,0,0,1.83247,0,2.19799,0.94973,0.00425,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,13811.4,2.0231,0.36022,0.30942,1.0862,0.00323,0.00351,0.78017,0.57273,0.66084,0.35041,0,0,0,0,1.83377,0,2.2363,0.94524,0.00425,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,14135.2,2.00794,0.36339,0.30514,1.08144,0.00328,0.01105,0.77724,0.57608,0.66381,0.35359,0,0,0,0,1.82098,0,2.17531,0.93336,0.00421,0,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
