epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,14918.1,1.93844,0.27668,0.28317,1.0392,0.00302,-2.0357,0.78207,0.57787,0.66643,0.35539,0,0,0,0,1.82373,0,1.91103,0.93936,0.00427,0,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,15239.7,1.93222,0.28448,0.28232,1.02908,0.00307,-2.0243,0.78073,0.58015,0.66709,0.35596,0,0,0,0,1.82166,0,1.91207,0.93899,0.00426,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,15562.1,1.92688,0.27708,0.28701,1.029,0.00304,-2.05335,0.78079,0.57542,0.66656,0.35422,0,0,0,0,1.82585,0,1.91736,0.941,0.00426,0,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,15888.7,1.94207,0.27543,0.29192,1.03389,0.00306,-1.98509,0.78149,0.57494,0.66485,0.35185,0,0,0,0,1.83098,0,1.93213,0.93815,0.00427,0,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,16214.1,1.95059,0.27373,0.28698,1.04029,0.00303,-1.9945,0.77866,0.57285,0.66337,0.35347,0,0,0,0,1.82439,0,1.93447,0.9388,0.00425,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,16534.4,1.91221,0.27281,0.27671,1.02432,0.00308,-2.00849,0.77763,0.57381,0.66334,0.35427,0,0,0,0,1.82353,0,1.93686,0.93735,0.00425,0,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,16858.5,1.93455,0.27498,0.28631,1.02788,0.00304,-2.02046,0.78522,0.57626,0.66776,0.35564,0,0,0,0,1.82232,0,1.92697,0.93409,0.00423,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,17178.8,1.91603,0.26864,0.2799,1.0175,0.00303,-2.00738,0.7882,0.57608,0.6684,0.35467,0,0,0,0,1.82551,0,1.93225,0.93798,0.00424,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,17502.7,1.93232,0.27085,0.28367,1.02791,0.00304,-2.02262,0.78417,0.57643,0.66769,0.35409,0,0,0,0,1.82532,0,1.9266,0.93604,0.00424,0,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,17827,1.92575,0.27989,0.2806,1.03058,0.00303,-2.0621,0.78166,0.57767,0.66789,0.35536,0,0,0,0,1.82252,0,1.93709,0.93165,0.00423,0,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
